section	offset	size	unit	scope	name	demangled
.text	0x00004D5C	0x244	pl0f/pl0f.cpp	local	plboat_R2_Move__FP7cPlayer	plboat_R2_Move
.text	0x00004FA0	0x5A4	pl0f/pl0f.cpp	local	plboat_R2_SpearSet__FP7cPlayer	plboat_R2_SpearSet
.text	0x00005544	0x1EC	pl0f/pl0f.cpp	local	plboat_R2_SpearThrow__FP7cPlayer	plboat_R2_SpearThrow
.text	0x00005730	0x548	pl0f/pl0f.cpp	local	plboat_R2_SpearSet2__FP7cPlayer	plboat_R2_SpearSet2
.text	0x00005C78	0x178	pl0f/pl0f.cpp	local	plboat_R2_SpearThrow2__FP7cPlayer	plboat_R2_SpearThrow2
.text	0x00005DF0	0x1AC	pl0f/pl0f.cpp	local	plboat_R2_BossDie__FP7cPlayer	plboat_R2_BossDie
.text	0x00005F9C	0xF4	pl0f/pl0f.cpp	local	plboat_R2_Guard__FP7cPlayer	plboat_R2_Guard
.text	0x00006090	0x370	pl0f/pl0f.cpp	local	plboat_R2_FallWater__FP7cPlayer	plboat_R2_FallWater
.text	0x00006400	0x704	pl0f/pl0f.cpp	local	plboat_R2_Swim__FP7cPlayer	plboat_R2_Swim
.text	0x00006B04	0x29C	pl0f/pl0f.cpp	local	plboat_R2_WaterRide__FP7cPlayer	plboat_R2_WaterRide
.text	0x00006DA0	0x254	pl0f/pl0f.cpp	local	plboat_R2_Die__FP7cPlayer	plboat_R2_Die
.text	0x00006FF4	0x128	pl0f/pl0f.cpp	local	plboat_R2_R10dIn__FP7cPlayer	plboat_R2_R10dIn
.text	0x0000711C	0x4A8	pl0f/pl0f.cpp	local	plboat_R2_R10dOut__FP7cPlayer	plboat_R2_R10dOut
.text	0x000075C4	0x128	pl0f/pl0f.cpp	local	plboat_R2_R10eIn__FP7cPlayer	plboat_R2_R10eIn
.text	0x000076EC	0x4A8	pl0f/pl0f.cpp	local	plboat_R2_R10eOut__FP7cPlayer	plboat_R2_R10eOut
